login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
kkuchta,kkuchta/amaretto,2013-01-07T01:51:47Z,0,0,Ruby,True,True,
kkuchta,kkuchta/appointmentpalooza,2019-09-22T18:34:24Z,0,0,TypeScript,True,True,
kkuchta,kkuchta/aptible-cli,2016-10-24T01:02:20Z,0,0,Ruby,True,False,MIT License
kkuchta,kkuchta/aws_markov,2018-08-08T22:11:39Z,2,2,HTML,True,True,
kkuchta,kkuchta/blog2,2023-03-19T23:25:21Z,0,0,HTML,True,True,
kkuchta,kkuchta/bub,2016-02-16T05:57:36Z,3,3,Ruby,True,True,MIT License
kkuchta,kkuchta/bubs,2013-06-20T01:27:33Z,0,0,Ruby,True,True,MIT License
kkuchta,kkuchta/bub_bot,2016-11-19T23:54:33Z,0,0,Ruby,True,True,MIT License
kkuchta,kkuchta/canton,2013-01-02T00:52:39Z,0,0,Ruby,True,True,
kkuchta,kkuchta/cc_tools,2015-01-25T21:22:34Z,0,0,CoffeeScript,True,True,
kkuchta,kkuchta/chess_problem,2013-11-17T02:56:47Z,0,0,Ruby,True,True,
kkuchta,kkuchta/child,2012-03-01T01:04:44Z,0,0,,True,True,
kkuchta,kkuchta/coffeewifi,2014-08-17T20:43:47Z,0,0,Ruby,True,True,
kkuchta,kkuchta/css-only-chat,2019-05-07T14:32:58Z,6582,6582,Ruby,True,True,MIT License
kkuchta,kkuchta/dayssinceacryptocurrencyexchangehaslostmorethan100million,2018-02-10T06:56:36Z,0,0,HTML,True,True,
kkuchta,kkuchta/dicey_proposition,2019-09-09T23:34:41Z,0,0,JavaScript,True,True,
kkuchta,kkuchta/druby,2022-11-12T22:11:22Z,2,2,Ruby,True,True,
kkuchta,kkuchta/factorio_hilbert,2020-10-25T04:37:38Z,1,1,Ruby,True,True,
kkuchta,kkuchta/fractals,2018-07-01T18:01:54Z,0,0,JavaScript,True,True,
kkuchta,kkuchta/go-reference,2015-09-13T21:39:29Z,0,0,Go,True,True,
kkuchta,kkuchta/GreedyBotSupreme,2012-05-28T01:12:50Z,0,0,JavaScript,True,True,
kkuchta,kkuchta/haskell_reference,2014-05-21T06:15:36Z,0,0,Haskell,True,True,
kkuchta,kkuchta/haus_takehome,2019-10-02T02:33:19Z,0,0,TypeScript,True,True,
kkuchta,kkuchta/isitfactoriodayyet,2024-07-05T19:21:05Z,1,1,JavaScript,True,True,
kkuchta,kkuchta/kahlua,2012-11-19T03:03:01Z,1,1,JavaScript,True,True,
kkuchta,kkuchta/kindlygofuckthyself.com,2019-12-15T19:33:40Z,0,0,HTML,True,True,
kkuchta,kkuchta/kkuchta.github.com,2012-04-08T00:30:42Z,1,1,HTML,True,True,
kkuchta,kkuchta/kkuchta_vimrc,2011-05-31T18:40:57Z,2,2,VimL,True,True,
kkuchta,kkuchta/KolCrimbotSimulation,2014-12-20T23:09:57Z,0,0,Ruby,True,True,
kkuchta,kkuchta/LemonJuice,2013-05-15T04:53:10Z,0,0,Ruby,True,True,
kkuchta,kkuchta/lyric_bot,2017-07-25T16:42:05Z,3,3,Ruby,True,True,
kkuchta,kkuchta/mitt,2016-12-29T05:29:29Z,1,1,Ruby,True,True,MIT License
kkuchta,kkuchta/nodegame,2013-06-30T22:25:10Z,1,1,Ruby,True,True,
kkuchta,kkuchta/number-go-up,2020-08-03T06:21:41Z,0,0,TypeScript,True,True,
kkuchta,kkuchta/OTest,2012-02-05T19:58:28Z,0,0,Ruby,True,True,
kkuchta,kkuchta/parcel_repro,2020-11-20T23:44:35Z,0,0,HTML,True,True,
kkuchta,kkuchta/parent,2012-03-01T01:03:23Z,0,0,,True,True,
kkuchta,kkuchta/physicsengine,2012-10-31T13:01:17Z,1,1,JavaScript,True,True,
kkuchta,kkuchta/pickaxe.club,2016-02-06T23:46:56Z,0,0,Shell,True,False,
kkuchta,kkuchta/planet_runner,2014-06-29T23:45:33Z,0,0,JavaScript,True,True,
kkuchta,kkuchta/prisma2-docs,2020-04-05T22:59:14Z,0,0,TypeScript,True,False,
kkuchta,kkuchta/QuestionPOC,2014-11-03T07:19:30Z,0,0,Ruby,True,True,
kkuchta,kkuchta/RandomImagur2,2013-07-28T22:53:42Z,18,18,HTML,True,True,
kkuchta,kkuchta/real_aws_status,2018-04-13T07:02:39Z,0,0,JavaScript,True,True,
kkuchta,kkuchta/redwood,2021-01-26T00:40:54Z,0,0,,True,True,MIT License
kkuchta,kkuchta/render_world,2016-01-13T04:37:09Z,0,0,,True,True,
kkuchta,kkuchta/scarr,2018-04-10T06:07:57Z,76,76,Go,True,True,
kkuchta,kkuchta/screambot,2017-05-14T05:10:31Z,0,0,Ruby,True,True,
kkuchta,kkuchta/secret_twitter_book,2022-03-06T00:49:50Z,5,5,Ruby,True,True,
kkuchta,kkuchta/sfclearprices.github.io,2024-06-25T17:36:39Z,0,0,,True,True,
